Messier,NGC,Common_Name,Object_Type,RA_Hours,RA_Decimal,Dec_Text,Dec_Decimal,Constellation,Magnitude,Best_Season
M1,NGC 1952,Crab Nebula,Supernova remnant,05:34,83.5,+22:01,22.017,Taurus,8.4,winter  
M2,NGC 7089,,Globular cluster,21:33,323.25,-00:49,-0.817,Aquarius,6.3,autumn
M3,NGC 5272,,Globular cluster,13:42,205.5,+28:23,28.383,Canes Venatici,6.2,summer
M4,NGC 6121,,Globular cluster,16:23,245.75,-26:32,-26.533,Scorpius,5.4,summer
M5,NGC 5904,,Globular cluster,15:19,229.75,+02:05,2.083,Serpens,5.7,summer
M6,NGC 6405,Butterfly Cluster,Open cluster,17:40,265.0,-32:13,-32.217,Scorpius,4.2,summer
M7,NGC 6475,Ptolemy Cluster,Open cluster,17:54,268.5,-34:49,-34.817,Scorpius,3.3,summer
M8,NGC 6523,Lagoon Nebula,Nebula,18:04,271.0,-24:23,-24.383,Sagittarius,5.8,summer
M9,NGC 6333,,Globular cluster,17:19,259.75,-18:31,-18.517,Ophiuchus,7.9,summer
M10,NGC 6254,,Globular cluster,16:57,254.25,-04:06,-4.1,Ophiuchus,6.4,summer
M11,NGC 6705,Wild Duck Cluster,Open cluster,18:51,282.75,-06:16,-6.267,Scutum,5.8,summer
M12,NGC 6218,,Globular cluster,16:47,251.75,-01:57,-1.95,Ophiuchus,6.1,summer
M13,NGC 6205,Hercules Cluster,Globular cluster,16:42,250.5,+36:28,36.467,Hercules,5.8,summer
M14,NGC 6402,,Globular cluster,17:38,264.5,-03:15,-3.25,Ophiuchus,7.6,summer
M15,NGC 7078,,Globular cluster,21:30,322.5,+12:10,12.167,Pegasus,6.2,autumn
M16,NGC 6611,Eagle Nebula,Cluster & nebula,18:19,274.75,-13:49,-13.817,Serpens,6.0,summer
M17,NGC 6618,Omega Nebula,Nebula,18:21,275.25,-16:11,-16.183,Sagittarius,6.0,summer
M18,NGC 6613,,Open cluster,18:20,275.0,-17:08,-17.133,Sagittarius,6.9,summer
M19,NGC 6273,,Globular cluster,17:03,255.75,-26:16,-26.267,Ophiuchus,6.8,summer
M20,NGC 6514,Trifid Nebula,Nebula,18:02,270.5,-23:02,-23.033,Sagittarius,6.3,summer
M21,NGC 6531,,Open cluster,18:05,271.25,-22:30,-22.5,Sagittarius,5.9,summer
M22,NGC 6656,,Globular cluster,18:36,279.0,-23:54,-23.9,Sagittarius,5.1,summer
M23,NGC 6494,,Open cluster,17:57,269.25,-19:01,-19.017,Sagittarius,5.5,summer
M24,IC 4715,Sagittarius Star Cloud,Cluster & nebula,18:17,274.25,-18:25,-18.417,Sagittarius,4.6,summer
M25,IC 4725,,Open cluster,18:32,278.0,-19:15,-19.25,Sagittarius,4.6,summer
M26,NGC 6694,,Open cluster,18:45,281.25,-09:24,-9.4,Scutum,8.0,summer
M27,NGC 6853,Dumbbell Nebula,Planetary nebula,19:59,299.75,+22:43,22.717,Vulpecula,7.3,summer
M28,NGC 6626,,Globular cluster,18:25,276.25,-24:52,-24.867,Sagittarius,6.9,summer
M29,NGC 6913,,Open cluster,20:24,306.0,+38:32,38.533,Cygnus,6.6,summer
M30,NGC 7099,,Globular cluster,21:40,325.0,-23:11,-23.183,Capricornus,7.5,autumn
M31,NGC 224,Andromeda Galaxy,Galaxy,00:43,10.75,+41:16,41.267,Andromeda,3.4,autumn
M32,NGC 221,,Galaxy,00:43,10.75,+40:52,40.867,Andromeda,8.1,autumn
M33,NGC 598,Triangulum Galaxy,Galaxy,01:34,23.5,+30:39,30.65,Triangulum,5.7,autumn
M34,NGC 1039,,Open cluster,02:42,40.5,+42:47,42.783,Perseus,5.2,winter
M35,NGC 2168,,Open cluster,06:09,92.25,+24:20,24.333,Gemini,5.1,winter
M36,NGC 1960,,Open cluster,05:36,84.0,+34:08,34.133,Auriga,6.0,winter
M37,NGC 2099,,Open cluster,05:52,88.0,+32:33,32.55,Auriga,5.6,winter
M38,NGC 1912,,Open cluster,05:29,82.25,+35:50,35.833,Auriga,6.4,winter
M39,NGC 7092,,Open cluster,21:32,323.0,+48:26,48.433,Cygnus,4.6,autumn
M40,WNC 4,,Double star,12:22,185.5,+58:05,58.083,Ursa Major,8.4,spring
M41,NGC 2287,,Open cluster,06:47,101.75,-20:44,-20.733,Canis Major,4.5,winter
M42,NGC 1976,Orion Nebula,Nebula,05:35,83.75,-05:27,-5.45,Orion,4.0,winter
M43,NGC 1982,De Mairan's Nebula,Nebula,05:36,84.0,-05:16,-5.267,Orion,9.0,winter
M44,NGC 2632,Beehive Cluster,Open cluster,08:40,130.0,+19:59,19.983,Cancer,3.1,winter
M45,,Pleiades,Open cluster,03:47,56.75,+24:07,24.117,Taurus,1.6,winter
M46,NGC 2437,,Open cluster,07:42,115.5,-14:49,-14.817,Puppis,6.1,winter
M47,NGC 2422,,Open cluster,07:37,114.25,-14:30,-14.5,Puppis,4.4,winter
M48,NGC 2548,,Open cluster,08:14,123.5,-05:48,-5.8,Hydra,5.8,winter
M49,NGC 4472,,Galaxy,12:30,187.5,+08:00,8.0,Virgo,8.4,spring
M50,NGC 2323,,Open cluster,07:03,105.75,-08:20,-8.333,Monoceros,5.9,winter
M51,NGC 5194,Whirlpool Galaxy,Galaxy,13:30,202.5,+47:12,47.2,Canes Venatici,8.4,spring
M52,NGC 7654,,Open cluster,23:24,351.0,+61:35,61.583,Cassiopeia,6.9,autumn
M53,NGC 5024,,Globular cluster,13:13,198.25,+18:10,18.167,Coma Berenices,7.7,spring
M54,NGC 6715,,Globular cluster,18:55,283.75,-30:29,-30.483,Sagittarius,7.7,summer
M55,NGC 6809,,Globular cluster,19:40,295.0,-30:58,-30.967,Sagittarius,6.3,summer
